,id,id,id,min_x,min_x,min_x,min_y,min_y,min_y,max_x,max_x,max_x,max_y,max_y,max_y,point_x,point_x,point_x,point_y,point_y,point_y,point_z,point_z,point_z,l,l,l,w,w,w,h,h,h,rot_y,rot_y,rot_y,mov_point_z,mov_point_z,mov_point_z,frame,frame,frame
,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean
class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus,1,4798,14.09849086576648,0,1919.0,962.8363780778395,0.0,809.0,469.2590349483717,1.0,1920.0,1317.1569698173153,415.0,1200.0,715.6658061953932,-42.348734230943016,41.90507432556721,-6.389341253922064,-49.99284018430231,-0.2444935780927791,-26.145273839246407,-2.401755103290986,6.016833565209162,2.2687869129814704,7.992984415960123,12.832408156894752,10.722154697236096,2.2805267830631584,3.3677931367594054,2.640088306739341,2.735156043966993,3.823763370513916,3.2669658257629832,-3.141592653589793,3.141592653589793,-0.41981304133582853,-20,14,6.715448768864178,0000,0009,inf
Car,0,35449,16.21199696705889,0,1919.0,788.5329888511332,0.0,927.0,532.4377376505939,1.0,1920.0,979.2941559718049,284.0,1200.0,646.1182341542868,-34.150594708820314,36.09616705002799,1.2118991442439073,-49.9954246551449,-0.0530820892708863,-23.27756953723836,-2.9437940654483685,6.17366617453856,0.8141721410852869,2.8088466745131986,5.084259854127026,4.166696207735797,1.0155823726037545,2.1813554307858043,1.6277607462104617,0.9575696265727636,1.8151122900572747,1.404085060887188,-3.141592653589793,3.141592653589793,-1.478399539902916,-20,14,7.737498946895448,0000,0009,inf
Person,0,32422,24.48846980442725,0.0,1919.0,1090.3528046421663,408.0,950.0,584.5002471523749,1.0,1920.0,1122.4288523533205,439.0,1200.0,642.8389103803997,-36.430465189357534,30.336446771409676,-4.20630001418032,-49.99812083133465,-4.754411079530017,-27.429615969119187,-2.919842873920867,5.043986882407092,1.9029150994157824,0.1768564196708624,1.1926938729625822,0.42941935403150633,0.2790392236436576,1.0969998174083708,0.5182570343137569,0.7080602645874023,1.9265609383583069,1.311415747506362,-3.14099687045754,3.141261202445884,-0.4498297348057769,-20,14,8.43765312701483,0000,0009,inf
SUV_&_Van,1,13323,13.834178498985802,0.0,1919.0,782.3329633740289,0.0,905.0,520.6738394121475,1.0,1920.0,989.3252899077653,291.0,1200.0,653.188679245283,-33.166581361393845,35.39576416785595,1.459170420807188,-49.986759287880965,-0.0487903441344881,-22.558820132206343,-2.725495934486389,4.823483010250046,0.8923837225568862,3.28817531707643,5.179612005862707,4.29680490131128,1.2878874116825485,2.243432205470448,1.7227073567374362,1.188723768495402,2.116742105345479,1.6648965038300965,-3.141592653589793,3.141592653589793,-1.4785015277679123,-20,14,6.569080332197941,0000,0009,inf
Special_Vehicle,1,635,8.25550267697799,0.0,1909.0,897.0954788816181,0.0,808.0,457.9964306960143,2.0,1920.0,1141.5731707317073,304.0,1200.0,669.8979773944081,-32.997928138510765,37.929083980707546,-1.468345273498471,-49.841761383633184,-0.4427356242344052,-26.312814346229256,-2.463416566873455,5.632016165877893,1.1760328340816981,1.8060483542695536,10.436841248130436,6.437073727179726,1.4104674893253062,3.2831562698326,2.2755931239838967,1.7513347968082391,4.35173178448848,2.911461318293841,-3.1404289415563973,3.141592653589793,-0.6157348165538861,-20,14,-1.6606186793575253,0000,0009,inf
Truck,0,2801,13.601435484747974,0.0,1919.0,716.325539666141,0.0,861.0,516.585830025556,1.0,1920.0,963.2083627861454,302.0,1200.0,686.5392311456691,-32.97543678843735,45.99391008149168,2.4038681564675257,-49.99747439353255,-0.1715415776423428,-23.6981477750273,-2.56759901950282,5.611905600905232,1.3537802360205762,3.789158168058493,10.408180650395698,5.252512950794768,1.587408478805679,2.8947542988757045,1.8935783600663065,1.6363317961757784,3.771812557309272,2.3227846321882857,-3.141592653589793,3.141592653589793,-1.620171321017663,-20,14,9.780871078244793,0000,0009,inf
Two_Wheeler,0,1907,16.00987773293983,0.0,1917.0,1115.6393422875383,267.0,914.0,650.8996566885503,4.0,1920.0,1238.1449135698367,303.0,1116.0,747.393422875384,-33.136636663922935,32.89183601067216,-2.753224738348417,-49.87490899915433,-7.392295474749646,-20.957490007772986,-2.7867282469523924,4.766208624607385,1.5449126425273123,0.9276476136856182,2.695790348539529,1.7593636875041858,0.3890103800240574,1.143499636980326,0.604515175789292,0.9456461930167164,1.822978433414976,1.3686653954412906,-3.13991031096401,3.141592653589793,-1.124404708561401,-20,14,13.112871167861229,0000,0009,inf
