               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047195,            0.091115,            0.016446,             0.82678,             0.68739,             0.74908,             0.44989,            0.036697,            0.068661,            0.010977,            0.070006,           0.0033327,           0.0033327
                   1,            0.038435,            0.079437,            0.011162,             0.81538,              0.7491,             0.80275,              0.5373,            0.032726,            0.063356,            0.009244,             0.03994,              0.0066,              0.0066
                   2,            0.035553,            0.075617,           0.0096873,             0.84336,             0.77235,             0.83197,             0.57943,            0.030924,            0.060939,            0.008145,           0.0098081,           0.0098013,           0.0098013
                   3,            0.033393,            0.071514,           0.0086508,             0.86172,             0.78728,             0.85185,             0.60571,            0.029507,            0.058973,           0.0076486,            0.009703,            0.009703,            0.009703
                   4,            0.031812,            0.069364,            0.007984,              0.8414,             0.80063,             0.84308,             0.60809,            0.028749,             0.05773,           0.0075138,            0.009703,            0.009703,            0.009703
                   5,               0.031,            0.067919,           0.0075616,             0.84908,             0.80299,             0.84786,             0.61304,            0.028293,            0.057148,           0.0071924,            0.009604,            0.009604,            0.009604
                   6,            0.030437,            0.066592,           0.0072323,             0.86568,             0.80125,             0.85869,             0.63196,            0.027802,            0.056381,           0.0070551,            0.009505,            0.009505,            0.009505
                   7,            0.029993,            0.066394,            0.007034,             0.86046,             0.81614,             0.86902,             0.64328,            0.027404,            0.055654,           0.0070432,            0.009406,            0.009406,            0.009406
                   8,            0.029555,            0.065187,            0.006795,             0.88244,              0.8046,             0.86388,             0.64391,            0.027224,             0.05542,           0.0069083,            0.009307,            0.009307,            0.009307
                   9,            0.029053,            0.064328,           0.0065874,             0.86621,              0.8149,             0.86447,             0.64705,            0.026819,            0.055166,           0.0068376,            0.009208,            0.009208,            0.009208
                  10,            0.028775,            0.063968,           0.0064007,             0.86562,              0.8136,             0.86258,             0.64767,            0.026566,            0.054726,           0.0068436,            0.009109,            0.009109,            0.009109
                  11,            0.028414,            0.063205,           0.0062654,             0.85273,              0.8169,             0.84891,             0.63301,            0.026378,            0.054365,           0.0067612,             0.00901,             0.00901,             0.00901
                  12,            0.028116,            0.062713,           0.0061023,             0.85821,             0.82436,             0.85854,             0.64721,            0.026162,            0.053929,           0.0067115,            0.008911,            0.008911,            0.008911
                  13,            0.027845,            0.061991,           0.0059384,             0.85666,             0.82622,             0.85136,             0.63588,            0.026035,            0.053867,           0.0066473,            0.008812,            0.008812,            0.008812
                  14,            0.027588,             0.06195,           0.0058454,             0.86628,             0.82234,             0.86568,             0.65349,             0.02585,            0.053407,           0.0067798,            0.008713,            0.008713,            0.008713
                  15,            0.027362,            0.061517,           0.0056853,              0.8639,             0.82241,             0.85858,             0.64908,            0.025777,            0.053442,           0.0067744,            0.008614,            0.008614,            0.008614
                  16,            0.027088,            0.060645,           0.0055545,             0.84209,             0.83052,             0.84492,             0.63782,            0.025666,            0.053394,           0.0068722,            0.008515,            0.008515,            0.008515
                  17,            0.026888,            0.060098,           0.0054803,             0.85498,             0.82986,             0.85275,             0.64753,            0.025526,            0.053066,           0.0068107,            0.008416,            0.008416,            0.008416
                  18,            0.026755,            0.059839,           0.0053665,             0.83385,             0.83242,             0.84126,             0.63696,            0.025452,            0.053042,           0.0068081,            0.008317,            0.008317,            0.008317
                  19,             0.02645,            0.059224,           0.0052822,             0.82913,             0.82709,             0.83924,             0.63304,            0.025354,            0.052824,           0.0067877,            0.008218,            0.008218,            0.008218
                  20,            0.026319,             0.05907,            0.005136,             0.83817,             0.82506,              0.8467,             0.63982,            0.025292,             0.05269,           0.0068672,            0.008119,            0.008119,            0.008119
                  21,            0.026123,            0.058562,            0.005118,             0.82971,             0.82677,             0.82895,              0.6266,            0.025225,            0.052593,            0.006889,             0.00802,             0.00802,             0.00802
                  22,            0.025878,            0.058181,           0.0049176,             0.82501,             0.82656,             0.82023,             0.62004,            0.025163,            0.052582,           0.0069044,            0.007921,            0.007921,            0.007921
                  23,            0.025796,            0.057752,           0.0048448,             0.81809,             0.82801,             0.81497,             0.61608,            0.025109,            0.052549,           0.0069074,            0.007822,            0.007822,            0.007822
                  24,            0.025573,            0.057592,           0.0047602,              0.8164,             0.82616,             0.81111,             0.61238,            0.025067,            0.052503,           0.0069308,            0.007723,            0.007723,            0.007723
                  25,             0.02549,            0.057151,           0.0046277,             0.81053,             0.82839,              0.8093,             0.61167,            0.025033,             0.05248,           0.0069467,            0.007624,            0.007624,            0.007624
